EVENT_ID_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,DISORDER_TYPE,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,CIVILIAN_TARGETING,ISO,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES,TAGS,TIMESTAMP
GDELT,25-July-2023,2023,,Strategic developments,Strategic developments,Other,Wagner Group,WASHINGTON,,UGANDA,,111,,,,,Uganda,,,,,2.0,33.0,,https://www.sent-trib.com/2023/07/24/russia-wants-allies-so-it-is-hosting-an-africa-summit-food-security-and-wagner-are-key-questions/,,Criticize or denounce,,,
GDELT,25-July-2023,2023,,Strategic developments,Strategic developments,Other,Wagner Group,WASHINGTON,,UGANDA,,111,,,,,Uganda,,,,,2.0,33.0,,https://www.sent-trib.com/2023/07/24/russia-wants-allies-so-it-is-hosting-an-africa-summit-food-security-and-wagner-are-key-questions/,,Criticize or denounce,,,
GDELT,25-July-2023,2023,,Strategic developments,Strategic developments,Other,Wagner Group,UGANDA,,RUSSIA,,14,,,,,Uganda,,,,,2.0,33.0,,https://www.sent-trib.com/2023/07/24/russia-wants-allies-so-it-is-hosting-an-africa-summit-food-security-and-wagner-are-key-questions/,,Consider policy option,,,
GDELT,19-September-2023,2023,,Strategic developments,Strategic developments,Other,Wagner Group,WALL STREET JOURNAL,,COMMANDER,,40,,,,,Sudan,,,,,16.0,30.0,,https://themedialine.org/news/future-of-paramilitary-wagner-group-unclear-after-leaders-death/,,Consult- not specified below,,,
GDELT,19-September-2023,2023,,Strategic developments,Strategic developments,Other,Wagner Group,MOSCOW,,MILITIA,,51,,,,,Sudan,,,,,16.0,30.0,,https://themedialine.org/news/future-of-paramilitary-wagner-group-unclear-after-leaders-death/,,Praise or endorse,,,
GDELT,19-September-2023,2023,,Strategic developments,Strategic developments,Other,Wagner Group,RUSSIA,,,,15,,,,,Sudan,,,,,16.0,30.0,,https://themedialine.org/news/future-of-paramilitary-wagner-group-unclear-after-leaders-death/,,Acknowledge or claim responsibility,,,
GDELT,19-September-2023,2023,,Strategic developments,Strategic developments,Other,Wagner Group,COMMANDER,,WALL STREET JOURNAL,,40,,,,,Sudan,,,,,16.0,30.0,,https://themedialine.org/news/future-of-paramilitary-wagner-group-unclear-after-leaders-death/,,Consult- not specified below,,,
GDELT,29-June-2023,2023,,Strategic developments,Strategic developments,Other,Wagner Group,SYRIA,,RUSSIA,,72,,,,,Sudan,,,,,16.9383,33.7472,,https://www.al-monitor.com/originals/2023/06/uae-sudan-us-targets-mideast-entities-wagner-ties,,Provide military aid,,,
GDELT,28-June-2023,2023,,Strategic developments,Strategic developments,Change to group/activity,Wagner Group,,,SUDAN,,163,,,,,Sudan,,,,,16.0,30.0,,https://www.economist.com/middle-east-and-africa/2023/06/27/what-next-for-wagners-african-empire,,Impose embargo,,,
GDELT,28-June-2023,2023,,Strategic developments,Strategic developments,Other,Wagner Group,,,AFRICA,,80,,,,,Sudan,,,,,16.0,30.0,,https://www.economist.com/middle-east-and-africa/2023/06/27/what-next-for-wagners-african-empire,,Yield- not specified below,,,
