GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1116905115,20230725,202307,2023,2023.5616,AFR,AFRICA,AFR,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,14,14,1,1,0.0,1,1,1,-0.96491228070175,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,1,Burkina Faso,UV,UV,,13.0,-2.0,UV,20230725003000,https://www.sent-trib.com/2023/07/24/russia-wants-allies-so-it-is-hosting-an-africa-summit-food-security-and-wagner-are-key-questions/
1111596196,20230628,202306,2023,2023.4877,CAF,CENTRAL AFRICAN REPUBLIC,CAF,,,,,,,,,,,,,,,,,,0,10,10,1,1,0.0,4,1,4,-1.76643768400393,4,"Bangui, Bangui, Central African Republic",CT,CT18,18585,4.36667,18.5833,-1339562,0,,,,,,,,4,"Bangui, Bangui, Central African Republic",CT,CT18,18585.0,4.36667,18.5833,-1339562,20230628003000,https://www.economist.com/middle-east-and-africa/2023/06/27/what-next-for-wagners-african-empire
1111596463,20230628,202306,2023,2023.4877,CVL,ETHNIC GROUP,,,,,,CVL,,,GOV,PRESIDENT,,,,,,GOV,,,0,90,90,9,2,-2.0,5,1,5,-1.76643768400393,4,"Bangui, Bangui, Central African Republic",CT,CT18,18585,4.36667,18.5833,-1339562,4,"Bangui, Bangui, Central African Republic",CT,CT18,18585,4.36667,18.5833,-1339562,4,"Bangui, Bangui, Central African Republic",CT,CT18,18585.0,4.36667,18.5833,-1339562,20230628003000,https://www.economist.com/middle-east-and-africa/2023/06/27/what-next-for-wagners-african-empire
1111597356,20230628,202306,2023,2023.4877,UAF,FIGHTER,,,,,,UAF,,,,,,,,,,,,,0,1822,182,18,4,-9.0,10,1,10,-1.76643768400393,4,"Bangui, Bangui, Central African Republic",CT,CT18,18585,4.36667,18.5833,-1339562,0,,,,,,,,4,"Bangui, Bangui, Central African Republic",CT,CT18,18585.0,4.36667,18.5833,-1339562,20230628003000,https://www.economist.com/middle-east-and-africa/2023/06/27/what-next-for-wagners-african-empire
1117129607,20230726,202307,2023,2023.5644,AFR,AFRICA,AFR,,,,,,,,MIL,MILITARY,,,,,,MIL,,,1,51,51,5,1,3.4,1,1,1,-1.91082802547771,1,Central African Republic,CT,CT,,7.0,21.0,CT,1,United Kingdom,UK,UK,,54.0,-4.0,UK,1,Central African Republic,CT,CT,,7.0,21.0,CT,20230726003000,https://www.thetimes.co.uk/article/russia-wagner-group-uk-african-countries-british-mps-8mgzzg020
1116905121,20230725,202307,2023,2023.5616,AFR,AFRICA,AFR,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,51,51,5,1,3.4,2,1,2,-0.96491228070175,1,Ethiopia,ET,ET,,8.0,38.0,ET,1,Nigeria,NI,NI,,10.0,8.0,NI,1,Congo,CF,CF,,-1.0,15.0,CF,20230725003000,https://www.sent-trib.com/2023/07/24/russia-wants-allies-so-it-is-hosting-an-africa-summit-food-security-and-wagner-are-key-questions/
1106770717,20230605,202306,2023,2023.4247,,,,,,,,,,,EGY,EGYPT,EGY,,,,,,,,1,36,36,3,1,4.0,7,1,7,-2.77777777777778,0,,,,,,,,4,"Sharara, Al Minya, Egypt",EG,EG10,65866,27.9667,30.85,-302034,4,"Sharara, Al Minya, Egypt",EG,EG10,65866.0,27.9667,30.85,-302034,20230605003000,https://www.jacksonprogress-argus.com/news/world_nation/putin-gains-influence-in-oil-rich-libya-as-us-struggles-to-oust-wagner-group/article_01c4a876-87b6-554a-a7fc-938fd793853e.html
1106771142,20230605,202306,2023,2023.4247,EGY,EGYPT,EGY,,,,,,,,,,,,,,,,,,1,36,36,3,1,4.0,1,1,1,-2.77777777777778,4,"Sharara, Al Minya, Egypt",EG,EG10,65866,27.9667,30.85,-302034,0,,,,,,,,4,"Sharara, Al Minya, Egypt",EG,EG10,65866.0,27.9667,30.85,-302034,20230605003000,https://www.jacksonprogress-argus.com/news/world_nation/putin-gains-influence-in-oil-rich-libya-as-us-struggles-to-oust-wagner-group/article_01c4a876-87b6-554a-a7fc-938fd793853e.html
1106771384,20230605,202306,2023,2023.4247,LBY,LIBYA,LBY,,,,,,,,EGY,EGYPT,EGY,,,,,,,,1,36,36,3,1,4.0,1,1,1,-2.77777777777778,4,"Tripoli, Tarabulus, Libya",LY,LY61,19101,32.8925,13.18,-3178767,4,"Sharara, Al Minya, Egypt",EG,EG10,65866,27.9667,30.85,-302034,4,"Sharara, Al Minya, Egypt",EG,EG10,65866.0,27.9667,30.85,-302034,20230605003000,https://www.jacksonprogress-argus.com/news/world_nation/putin-gains-influence-in-oil-rich-libya-as-us-struggles-to-oust-wagner-group/article_01c4a876-87b6-554a-a7fc-938fd793853e.html
1106771144,20230605,202306,2023,2023.4247,EGY,EGYPT,EGY,,,,,,,,LBY,LIBYA,LBY,,,,,,,,1,36,36,3,1,4.0,2,1,2,-2.77777777777778,4,"Tripoli, Tarabulus, Libya",LY,LY61,19101,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,19101,32.8925,13.18,-3178767,4,"Tripoli, Tarabulus, Libya",LY,LY61,19101.0,32.8925,13.18,-3178767,20230605003000,https://www.jacksonprogress-argus.com/news/world_nation/putin-gains-influence-in-oil-rich-libya-as-us-struggles-to-oust-wagner-group/article_01c4a876-87b6-554a-a7fc-938fd793853e.html
