GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1154356621,20240129,202401,2024,2024.0795,AGO,ANGOLA,AGO,,,,,,,,AFR,AFRICA,AFR,,,,,,,,1,42,42,4,1,1.9,2,1,2,-0.95338983050847,4,"Luanda, Luanda, Angola",AO,AO10,18585,-8.83833,13.2344,-2866283,1,Russia,RS,RS,,60.0,100.0,RS,4,"Luanda, Luanda, Angola",AO,AO10,18585.0,-8.83833,13.2344,-2866283,20240129003000,https://allafrica.com/stories/202401290002.html
1116905115,20230725,202307,2023,2023.5616,AFR,AFRICA,AFR,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,14,14,1,1,0.0,1,1,1,-0.96491228070175,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,1,Burkina Faso,UV,UV,,13.0,-2.0,UV,20230725003000,https://www.sent-trib.com/2023/07/24/russia-wants-allies-so-it-is-hosting-an-africa-summit-food-security-and-wagner-are-key-questions/
1127197443,20230916,202309,2023,2023.7014,FRA,FRANCE,FRA,,,,,,,,MIL,CAPTAIN,,,,,,MIL,,,1,874,87,8,2,10.0,6,1,6,-5.69306930693069,4,"Saint Petersburg, Sankt-Peterburg, Russia",RS,RS66,25095,59.8944,30.2642,-2996338,1,Iran,IR,IR,,32.0,53.0,IR,4,"Ouagadougou, Kadiogo, Burkina Faso",UV,UV53,154478.0,12.3703,-1.52472,-1721728,20230916003000,https://www.modernghana.com/news/1259373/burkina-expels-french-defence-attache-for-subvers.html
1127197447,20230916,202309,2023,2023.7014,FRA,FRANCE,FRA,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,1,46,46,4,1,7.0,1,1,1,-5.69306930693069,4,"Paris, France (general), France",FR,FR00,16282,48.8667,2.33333,-1456928,4,"Saint Petersburg, Sankt-Peterburg, Russia",RS,RS66,25095,59.8944,30.2642,-2996338,4,"Ouagadougou, Kadiogo, Burkina Faso",UV,UV53,154478.0,12.3703,-1.52472,-1721728,20230916003000,https://www.modernghana.com/news/1259373/burkina-expels-french-defence-attache-for-subvers.html
1127197543,20230916,202309,2023,2023.7014,GOV,FOREIGN MINIST,,,,,,GOV,,,IRN,IRAN,IRN,,,,,,,,0,20,20,2,1,3.0,6,1,6,-5.69306930693069,4,"Saint Petersburg, Sankt-Peterburg, Russia",RS,RS66,25095,59.8944,30.2642,-2996338,1,Iran,IR,IR,,32.0,53.0,IR,4,"Ouagadougou, Kadiogo, Burkina Faso",UV,UV53,154478.0,12.3703,-1.52472,-1721728,20230916003000,https://www.modernghana.com/news/1259373/burkina-expels-french-defence-attache-for-subvers.html
1127197546,20230916,202309,2023,2023.7014,GOV,FOREIGN MINIST,,,,,,GOV,,,IRN,IRAN,IRN,,,,,,,,0,50,50,5,1,3.5,6,1,6,-5.69306930693069,4,"Saint Petersburg, Sankt-Peterburg, Russia",RS,RS66,25095,59.8944,30.2642,-2996338,1,Iran,IR,IR,,32.0,53.0,IR,4,"Ouagadougou, Kadiogo, Burkina Faso",UV,UV53,154478.0,12.3703,-1.52472,-1721728,20230916003000,https://www.modernghana.com/news/1259373/burkina-expels-french-defence-attache-for-subvers.html
1110859018,20230624,202306,2023,2023.4767,IGOEUREEC,THE EUROPEAN UNION,EUR,EEC,,,,IGO,,,,,,,,,,,,,0,112,112,11,3,-2.0,1,1,1,-8.09748427672955,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,0,,,,,,,,1,Central African Republic,CT,CT,,7.0,21.0,CT,20230624003000,https://www.seattletimes.com/nation-world/who-is-the-head-of-the-mercenary-group-calling-for-an-armed-rebellion-in-russia/
1118700026,20230803,202308,2023,2023.5836,NER,NIGER,NER,,,,,,,,IMGMOSALQ,AL QAIDA,,ALQ,,MOS,,IMG,,,0,190,190,19,4,-10.0,2,1,2,-5.4421768707483,1,Russia,RS,RS,,60.0,100.0,RS,1,Sudan,SU,SU,,16.0,30.0,SU,1,Central African Republic,CT,CT,,7.0,21.0,CT,20230803003000,https://www.cbsnews.com/news/niger-u-s-orders-departure-non-emergency-government-personnel-state-department/
1156214145,20240207,202402,2024,2024.1014,RUS,RUSSIA,RUS,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,0,10,10,1,1,0.0,2,1,2,-3.56955380577428,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,1,Chad,CD,CD,,15.0,19.0,CD,1,Chad,CD,CD,,15.0,19.0,CD,20240207003000,https://freerepublic.com/tag/*/index?more=4215475
1109392372,20230617,202306,2023,2023.4575,IGOAFRAFU,AFRICAN UNION,AFR,,,,,IGO,,,RUS,RUSSIA,RUS,,,,,,,,0,40,40,4,1,1.0,2,1,2,-2.08816705336427,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,1,Comoros,CN,CN,,-12.166667,44.25,CN,1,Comoros,CN,CN,,-12.166667,44.25,CN,20230617003000,https://www.msn.com/en-us/news/world/ukraine-calls-russian-missile-attack-on-kyiv-message-to-africa/ar-AA1cEJSP
